Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,~,D_SOD-123,-246.47,-30.36,105.0,bottom
D2,~,D_SOD-123,-251.22,-48.78,105.0,bottom
D3,~,D_SOD-123,-256.35,-67.21,105.0,bottom
D4,~,D_SOD-123,-261.29,-85.55,105.0,bottom
D5,~,D_SOD-123,-231.74,-49.07,105.0,bottom
D6,~,D_SOD-123,-236.73,-67.45,105.0,bottom
D7,~,D_SOD-123,-241.68,-85.88,105.0,bottom
D8,~,D_SOD-123,-212.519999,-51.24,105.0,bottom
D9,~,D_SOD-123,-217.57,-69.68,105.0,bottom
D10,~,D_SOD-123,-222.51,-88.04,105.0,bottom
D11,~,D_SOD-123,-227.131862,-96.820398,285.0,bottom
D12,~,D_SOD-123,-193.76,-54.3,105.0,bottom
D13,~,D_SOD-123,-198.57,-72.78,105.0,bottom
D14,~,D_SOD-123,-203.6,-91.24,105.0,bottom
D15,~,D_SOD-123,-209.446504,-104.759006,285.0,bottom
D16,~,D_SOD-123,-175.892949,-61.126222,105.0,bottom
D17,~,D_SOD-123,-180.69,-79.64,105.0,bottom
D18,~,D_SOD-123,-185.6,-97.98,105.0,bottom
D19,~,D_SOD-123,-191.706504,-112.249006,285.0,bottom
D20,~,D_SOD-123,-158.17,-68.8,105.0,bottom
D21,~,D_SOD-123,-163.06,-87.11,105.0,bottom
D22,~,D_SOD-123,-167.999999,-105.63,105.0,bottom
D23,~,D_SOD-123,-170.384204,-127.684204,225.0,bottom
D24,~,D_SOD-123,-110.57,-65.720001,75.0,bottom
D25,~,D_SOD-123,-105.65,-84.19,75.0,bottom
D26,~,D_SOD-123,-100.59,-102.5,75.0,bottom
D27,~,D_SOD-123,-118.056308,-119.462102,315.0,bottom
D28,~,D_SOD-123,-92.75,-58.03,75.0,bottom
D29,~,D_SOD-123,-87.91,-76.429999,75.0,bottom
D30,~,D_SOD-123,-83.05,-94.92,75.0,bottom
D31,~,D_SOD-123,-99.397302,-115.508608,255.0,bottom
D32,~,D_SOD-123,-74.87,-51.28,75.0,bottom
D33,~,D_SOD-123,-70.037051,-69.666222,75.0,bottom
D34,~,D_SOD-123,-65.07,-88.15,75.0,bottom
D35,~,D_SOD-123,-81.917302,-107.828608,255.0,bottom
D36,~,D_SOD-123,-56.077051,-48.166222,75.0,bottom
D37,~,D_SOD-123,-51.21,-66.61,75.0,bottom
D38,~,D_SOD-123,-46.190001,-85.03,75.0,bottom
D39,~,D_SOD-123,-64.24,-100.1,255.0,bottom
D40,~,D_SOD-123,-36.857051,-45.996222,75.0,bottom
D41,~,D_SOD-123,-31.94,-64.39,75.0,bottom
D42,~,D_SOD-123,-26.98,-82.86,75.0,bottom
D43,~,D_SOD-123,-22.08,-27.27,75.0,bottom
D44,~,D_SOD-123,-17.2,-45.63,75.0,bottom
D45,~,D_SOD-123,-12.48,-64.15,75.0,bottom
D46,~,D_SOD-123,-7.34,-82.49,75.0,bottom
