Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123,38.262009,-39.638275,15.0,bottom
D2,D,D_SOD-123,33.862109,-56.058975,15.0,bottom
D3,D,D_SOD-123,29.462107,-72.479675,15.0,bottom
D4,D,D_SOD-123,25.062209,-88.900475,15.0,bottom
D5,D,D_SOD-123,51.248208,-56.855975,15.0,bottom
D6,D,D_SOD-123,46.848307,-73.276775,15.0,bottom
D7,D,D_SOD-123,42.448407,-89.697475,15.0,bottom
D8,D,D_SOD-123,68.463507,-58.290575,15.0,bottom
D9,D,D_SOD-123,64.063607,-74.711275,15.0,bottom
D10,D,D_SOD-123,59.663709,-91.131975,15.0,bottom
D11,D,D_SOD-123,69.618107,-124.826475,195.0,bottom
D12,D,D_SOD-123,85.326807,-61.038675,15.0,bottom
D13,D,D_SOD-123,80.926908,-77.459475,15.0,bottom
D14,D,D_SOD-123,76.527007,-93.880174,15.0,bottom
D15,D,D_SOD-123,85.527007,-131.159875,195.0,bottom
D16,D,D_SOD-123,101.305007,-67.090374,15.0,bottom
D17,D,D_SOD-123,96.905107,-83.511075,15.0,bottom
D18,D,D_SOD-123,92.505107,-99.931875,15.0,bottom
D19,D,D_SOD-123,101.179009,-138.459575,195.0,bottom
D20,D,D_SOD-123,117.034709,-74.069275,15.0,bottom
D21,D,D_SOD-123,112.634807,-90.490075,15.0,bottom
D22,D,D_SOD-123,108.234809,-106.910775,15.0,bottom
D23,D,D_SOD-123,123.468107,-143.831475,225.0,bottom
D24,D,D_SOD-123,170.545909,-76.453175,345.0,bottom
D25,D,D_SOD-123,174.945807,-92.873975,345.0,bottom
D26,D,D_SOD-123,179.345707,-109.294673,345.0,bottom
D27,D,D_SOD-123,179.507907,-137.327973,135.0,bottom
D28,D,D_SOD-123,186.275608,-69.474274,345.0,bottom
D29,D,D_SOD-123,190.675509,-85.894975,345.0,bottom
D30,D,D_SOD-123,195.075408,-102.315774,345.0,bottom
D31,D,D_SOD-123,204.155309,-136.086375,165.0,bottom
D32,D,D_SOD-123,202.253707,-63.422575,345.0,bottom
D33,D,D_SOD-123,206.653707,-79.843375,345.0,bottom
D34,D,D_SOD-123,211.053607,-96.264075,345.0,bottom
D35,D,D_SOD-123,219.809208,-128.786074,165.0,bottom
D36,D,D_SOD-123,219.117107,-60.674375,345.0,bottom
D37,D,D_SOD-123,223.517007,-77.095175,345.0,bottom
D38,D,D_SOD-123,227.916909,-93.515875,345.0,bottom
D39,D,D_SOD-123,235.722008,-122.451775,165.0,bottom
D40,D,D_SOD-123,236.228807,-58.853475,345.0,bottom
D41,D,D_SOD-123,240.628808,-75.274275,345.0,bottom
D42,D,D_SOD-123,245.028709,-91.694975,345.0,bottom
D43,D,D_SOD-123,249.318607,-42.022175,345.0,bottom
D44,D,D_SOD-123,253.718507,-58.442874,345.0,bottom
D45,D,D_SOD-123,258.118407,-74.863575,345.0,bottom
D46,D,D_SOD-123,262.518409,-91.284375,345.0,bottom
SW1,SW_Push,ChocV1_V2_Hotswap_0.9u,41.163281,-46.431175,-15.0,bottom
SW2,SW_Push,ChocV1_V2_Hotswap_0.9u,36.763381,-62.851875,-15.0,bottom
SW3,SW_Push,ChocV1_V2_Hotswap_0.9u,32.363483,-79.272675,-15.0,bottom
SW4,SW_Push,ChocV1_V2_Hotswap_0.9u,27.963481,-95.693375,-15.0,bottom
SW5,SW_Push,ChocV1_V2_Hotswap_0.9u,54.149483,-63.648975,-15.0,bottom
SW6,SW_Push,ChocV1_V2_Hotswap_0.9u,49.749582,-80.069675,-15.0,bottom
SW7,SW_Push,ChocV1_V2_Hotswap_0.9u,45.349681,-96.490375,-15.0,bottom
SW8,SW_Push,ChocV1_V2_Hotswap_0.9u,71.364781,-65.083475,-15.0,bottom
SW9,SW_Push,ChocV1_V2_Hotswap_0.9u,66.964881,-81.504175,-15.0,bottom
SW10,SW_Push,ChocV1_V2_Hotswap_0.9u,62.564981,-97.924975,-15.0,bottom
